,0,1,2,3
D1,1.30E-05,3.50E-05,0.0307818693302599,0.0829647170450486
D2,2.07E-05,4.17E-05,0.00734146323139315,0.014826878101118
D3,1.13E-05,2.36E-05,0.00133774725762559,0.00279510470954061
D4,4.18E-05,8.63E-05,0.00244513614945747,0.00504470440046317
D5,4.84E-06,2.93E-05,0.000168128981541552,0.00101709781786509
Q11,1.08E-05,2.57E-05,0.0498026109707116,0.118634004249479
Q12,7.26E-06,1.48E-05,0.0123053133247392,0.0250350829105753
Q13,1.61E-06,7.56E-06,0.00168011559651237,0.00788602086652378
Q14,1.39E-06,4.30E-06,0.00102542491128222,0.00316152556895372
Q21,2.08E-05,4.67E-05,0.091355196873368,0.2048479307691
Q22,2.65E-05,5.56E-05,0.0434744475014979,0.0911388922306634
Q23,4.00E-05,9.08E-05,0.0399730871661143,0.0908416244703512
Q24,1.57E-06,5.73E-06,0.00116321537141949,0.00423660720272979
Q31,1.45E-05,3.21E-05,0.0650447319667307,0.144117445788505
Q32,1.22E-05,2.44E-05,0.0204217286674498,0.0409607078160764
Q33,2.32E-05,4.52E-05,0.0235616040187769,0.0459666153033454
Q34,1.44E-06,4.96E-06,0.00103936645979372,0.00357507603112766
Q41,3.63E-05,7.87E-05,0.148051613055637,0.321093267800807
Q42,1.43E-05,3.15E-05,0.0251609849435239,0.0555704273794186
Q43,3.09E-05,6.42E-05,0.0311549667703435,0.0648221937557911
Q44,1.50E-06,8.67E-06,0.00109212107960572,0.00632725546481151
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Mean Error [Wb],Max Error [Wb],Mean Error %,Max Error %
D1,1.30E-05,3.50E-05,3.08%,8.30%
D2,2.07E-05,4.17E-05,0.73%,1.48%
D3,1.13E-05,2.36E-05,0.13%,0.28%
D4,4.18E-05,8.63E-05,0.24%,0.50%
D5,4.84E-06,2.93E-05,0.02%,0.10%
Q11,1.08E-05,2.57E-05,4.98%,11.86%
Q21,2.08E-05,4.67E-05,9.14%,20.48%
Q31,1.45E-05,3.21E-05,6.50%,14.41%
Q41,3.63E-05,7.87E-05,14.81%,32.11%
